"Survived","Pclass","Sex","SibSp","Parch","Fare","Embarked"
"'0'","'1'","male","'1'","'2'",20.3489704868135,"S"
"'1'","'1'","female","'1'","'2'",24.5538927929587,"S"
"'1'","'1'","female","'0'","'2'",23.3899819074935,"Q"
"'1'","'3'","female","'0'","'0'",15.0025601816289,"S"
"'1'","'2'","female","'1'","'1'",16.0147476252415,"S"
"'1'","'3'","male","'0'","'0'",11.6003790432754,"C"
"'1'","'3'","female","'0'","'0'",12.2360315697944,"S"
"'1'","'1'","female","'1'","'0'",25.0133785340875,"S"
"'0'","'1'","male","'0'","'0'",16.609173650824,"S"
"'0'","'3'","male","'1'","'1'",14.6997071732756,"S"
"'0'","'3'","female","'0'","'2'",13.4310779666595,"S"
"'0'","'3'","male","'0'","'0'",13.0515575356843,"S"
"'0'","'3'","male","'0'","'0'",13.1000786021488,"S"
"'1'","'1'","female","'0'","'0'",23.5890656963022,"S"
"'0'","'3'","male","'1'","'0'",16.1812757812962,"S"
"'0'","'2'","male","'0'","'0'",13.5063476501929,"S"
"'1'","'2'","female","'0'","'0'",15.8637549076136,"S"
"'0'","'1'","male","'0'","'1'",18.5234262152116,"S"
"'1'","'3'","female","'0'","'0'",14.048915178606,"C"
"'0'","'3'","male","'4'","'2'",14.1933161590123,"S"
"'1'","'3'","female","'0'","'0'",14.7857813363372,"C"
"'0'","'3'","male","'2'","'2'",15.3931582685791,"Q"
"'0'","'1'","male","'0'","'0'",18.7739412187134,"C"
"'1'","'3'","female","'0'","'2'",12.2409980769989,"S"
"'0'","'1'","male","'1'","'0'",16.5601208268353,"S"
"'0'","'3'","male","'1'","'3'",14.2986146539471,"S"
"'0'","'3'","male","'0'","'0'",13.1271987738904,"S"
"'0'","'3'","male","'0'","'0'",12.9404846738896,"S"
"'0'","'3'","male","'0'","'0'",15.0204526158963,"C"
"'1'","'2'","female","'1'","'0'",19.9833605106314,"S"
"'0'","'2'","male","'0'","'0'",16.325046210589,"S"
"'1'","'2'","female","'0'","'0'",15.6893397340463,"S"
"'0'","'3'","male","'4'","'2'",18.7299363552017,"S"
"'1'","'3'","male","'0'","'0'",13.7790132709699,"C"
"'0'","'3'","male","'0'","'0'",16.6667464536977,"S"
"'1'","'3'","female","'0'","'0'",12.9329924737248,"S"
"'0'","'3'","male","'0'","'0'",13.4227424718627,"S"
"'0'","'3'","female","'0'","'1'",15.0521636571939,"C"
"'1'","'3'","male","'0'","'0'",15.1632139977297,"C"
"'1'","'3'","female","'0'","'0'",14.1672739553357,"C"
"'0'","'3'","male","'0'","'0'",15.1464047715775,"S"
"'0'","'3'","male","'0'","'0'",13.7557099504576,"S"
"'0'","'3'","female","'0'","'0'",12.8973153540719,"S"
"'0'","'2'","female","'1'","'1'",17.262173195938,"S"
"'0'","'3'","male","'0'","'0'",12.2581765519119,"S"
"'0'","'3'","male","'0'","'0'",12.6370236597695,"S"
"'0'","'3'","male","'0'","'0'",13.2750597482136,"S"
"'0'","'3'","male","'0'","'0'",16.556568824481,"S"
"'1'","'1'","female","'0'","'1'",25.2801314509624,"S"
"'0'","'1'","male","'0'","'1'",19.3099696574597,"C"
"'1'","'3'","female","'0'","'0'",14.3457541229159,"C"
"'1'","'1'","female","'1'","'0'",23.703524492883,"S"
"'0'","'3'","female","'3'","'0'",14.4006823246381,"S"
"'0'","'3'","male","'0'","'0'",12.1110545683598,"S"
"'0'","'3'","male","'0'","'0'",13.2704807556577,"S"
"'0'","'3'","male","'0'","'0'",11.0734028344853,"S"
"'0'","'3'","male","'0'","'0'",14.9361080103053,"S"
"'1'","'1'","female","'0'","'0'",23.9980753250499,"C"
"'0'","'3'","male","'2'","'0'",15.0234861431073,"S"
"'1'","'2'","female","'1'","'1'",19.2434879338032,"S"
"'0'","'3'","male","'0'","'0'",12.8454626925753,"S"
"'0'","'3'","female","'1'","'0'",12.6356368633777,"S"
"'1'","'1'","female","'0'","'0'",23.6676977366597,"S"
"'0'","'3'","male","'0'","'0'",11.186642649983,"S"
"'0'","'3'","female","'0'","'0'",12.9292013641434,"S"
"'0'","'3'","male","'0'","'0'",13.2347024928619,"S"
"'1'","'2'","male","'1'","'1'",16.9372546126551,"S"
"'1'","'2'","male","'0'","'0'",13.56271463274,"S"
"'0'","'3'","male","'0'","'0'",13.5055643784819,"S"
"'1'","'1'","female","'0'","'2'",21.0724817183585,"S"
"'1'","'1'","female","'0'","'0'",24.5760165694652,"C"
"'1'","'2'","female","'1'","'0'",17.4624409330241,"S"
"'0'","'3'","male","'0'","'0'",12.2035004376809,"S"
"'0'","'1'","male","'1'","'0'",22.6422860985261,"S"
"'0'","'2'","male","'0'","'0'",13.4039708276653,"S"
"'0'","'3'","male","'0'","'0'",10.550434915571,"S"
"'1'","'1'","male","'1'","'0'",23.1319194863837,"S"
"'1'","'1'","female","'0'","'0'",25.0679019241103,"S"
"'0'","'3'","female","'4'","'2'",16.2579426191513,"S"
"'0'","'3'","female","'0'","'0'",14.4378345881417,"C"
"'0'","'2'","male","'1'","'0'",15.2431862544937,"S"
"'0'","'3'","male","'0'","'0'",13.5870022369271,"S"
"'0'","'3'","male","'0'","'0'",14.8089105166613,"S"
"'0'","'1'","male","'1'","'0'",18.2009061892817,"S"
"'1'","'3'","female","'0'","'0'",11.8744381414794,"S"
"'0'","'3'","male","'0'","'0'",10.8468008762181,"S"
"'0'","'1'","male","'0'","'0'",16.5419090862948,"S"
"'1'","'1'","female","'1'","'0'",22.7574968020825,"C"
"'1'","'2'","female","'1'","'1'",15.3626223369535,"C"
"'0'","'3'","male","'0'","'0'",14.8748684525576,"S"
"'1'","'1'","male","'0'","'0'",23.6365388257649,"S"
"'1'","'3'","male","'0'","'0'",13.9018804765575,"C"
"'1'","'1'","male","'1'","'0'",22.788261747809,"S"
"'0'","'3'","male","'0'","'0'",15.5702699635938,"S"
"'1'","'3'","male","'0'","'0'",14.3827901896208,"C"
"'0'","'3'","male","'4'","'2'",12.3998873128533,"S"
"'0'","'2'","male","'0'","'0'",14.6520456183887,"S"
"'0'","'3'","female","'0'","'1'",14.6208407089301,"S"
"'1'","'3'","female","'1'","'0'",12.0977109498048,"C"
"'0'","'3'","male","'0'","'0'",12.5989206764301,"S"
"'0'","'3'","male","'0'","'0'",14.1121395954041,"S"
"'0'","'3'","male","'0'","'0'",13.9051155212559,"S"
"'0'","'3'","male","'0'","'0'",12.6361843156439,"C"
"'1'","'2'","female","'1'","'1'",16.559742226018,"S"
"'1'","'2'","female","'0'","'1'",14.4247163734939,"C"
"'0'","'3'","female","'2'","'2'",13.4684780530718,"S"
"'1'","'1'","male","'1'","'0'",22.2720772520955,"S"
"'0'","'3'","male","'0'","'0'",15.3136959272272,"S"
"'1'","'3'","female","'0'","'0'",12.8515623744343,"S"
"'0'","'3'","male","'0'","'0'",13.4512296244295,"S"
"'1'","'2'","female","'0'","'0'",15.9753912153545,"S"
"'1'","'1'","female","'0'","'0'",24.1322090150751,"S"
"'0'","'3'","male","'0'","'0'",15.6732571254236,"S"
"'1'","'1'","male","'0'","'0'",23.066414773915,"C"
"'1'","'1'","male","'1'","'0'",25.6305320969418,"C"
"'1'","'1'","male","'1'","'0'",23.3458464940324,"S"
"'0'","'1'","female","'1'","'0'",18.372824841267,"C"
"'1'","'1'","male","'0'","'0'",24.615063502746,"S"
"'1'","'1'","male","'0'","'0'",24.7160650560136,"S"
"'0'","'2'","male","'0'","'0'",15.1887242700067,"C"
"'1'","'1'","female","'2'","'2'",23.6692853328839,"S"
"'1'","'2'","female","'0'","'0'",11.2368273985647,"C"
"'1'","'1'","female","'1'","'0'",26.5584326304096,"C"
"'0'","'3'","male","'0'","'0'",14.6677778849081,"S"
"'0'","'3'","male","'0'","'0'",12.802815979492,"S"
"'0'","'3'","male","'0'","'0'",11.8427695239846,"S"
"'0'","'3'","male","'0'","'0'",13.4103177619139,"S"
"'0'","'2'","male","'1'","'0'",15.8553938559534,"S"
"'1'","'1'","female","'1'","'0'",22.9277197484385,"Q"
"'1'","'3'","female","'0'","'2'",12.9638068114267,"S"
"'1'","'1'","female","'3'","'2'",23.4833725313428,"S"
"'0'","'3'","male","'1'","'0'",13.7236170250885,"S"
"'0'","'3'","male","'0'","'0'",11.6440276996925,"S"
"'0'","'2'","female","'1'","'0'",19.0497726841469,"S"
"'0'","'2'","male","'0'","'0'",15.3696289477572,"C"
"'0'","'3'","male","'0'","'0'",12.257525051589,"S"
"'0'","'3'","male","'0'","'0'",14.9332945368036,"S"
"'0'","'3'","female","'3'","'2'",12.9980917818554,"S"
"'0'","'3'","male","'3'","'1'",15.3270410025945,"C"
"'0'","'3'","male","'5'","'2'",17.7086890013158,"S"
"'0'","'3'","male","'1'","'0'",13.8026273917995,"S"
"'0'","'3'","male","'2'","'0'",17.3202534004461,"S"
"'1'","'1'","female","'1'","'0'",24.2471914159466,"S"
"'1'","'1'","female","'1'","'0'",23.4957510583821,"C"
"'0'","'3'","female","'3'","'2'",14.7819122845626,"C"
"'0'","'3'","male","'0'","'0'",13.3557071713335,"S"
"'1'","'1'","male","'1'","'0'",23.2973547927444,"C"
"'0'","'3'","male","'0'","'0'",15.247191168671,"S"
"'1'","'3'","male","'1'","'0'",13.5455548741063,"C"
"'0'","'3'","male","'0'","'0'",14.2590172818771,"S"
"'1'","'2'","female","'1'","'0'",15.6487898585956,"S"
"'0'","'3'","male","'0'","'0'",15.2419367746745,"S"
"'0'","'1'","male","'0'","'0'",18.4279810326223,"S"
"'0'","'2'","male","'0'","'0'",14.4535332501358,"C"
"'1'","'1'","female","'1'","'0'",26.1153687811023,"S"
"'1'","'1'","female","'1'","'1'",25.8552604524778,"S"
"'0'","'3'","male","'2'","'0'",14.4731347539953,"C"
"'1'","'1'","male","'0'","'0'",23.3682866104794,"S"
"'0'","'3'","male","'0'","'0'",10.5256995527465,"S"
"'0'","'3'","male","'4'","'0'",17.7593736388045,"S"
"'0'","'3'","male","'2'","'0'",16.3846657491037,"S"
"'0'","'3'","male","'0'","'0'",13.086830560855,"C"
"'0'","'3'","female","'1'","'0'",16.4543643625475,"C"
"'1'","'3'","male","'0'","'0'",14.2131939100421,"C"
"'0'","'2'","male","'0'","'0'",13.7644327473873,"S"
"'0'","'3'","male","'5'","'0'",15.3838128043975,"Q"
"'0'","'3'","male","'0'","'0'",13.9453191721535,"S"
"'1'","'3'","female","'1'","'1'",14.0877617532191,"C"
"'1'","'3'","female","'0'","'0'",13.350055970527,"C"
"'1'","'1'","male","'0'","'0'",23.4816266761483,"S"
"'0'","'3'","male","'0'","'0'",11.874192118805,"S"
"'0'","'3'","male","'0'","'1'",13.5307376025365,"S"
"'0'","'2'","male","'1'","'0'",15.4277921939646,"S"
"'1'","'3'","female","'2'","'1'",17.4290459083575,"S"
"'1'","'1'","female","'1'","'0'",23.3314541001951,"C"
"'1'","'1'","female","'0'","'0'",23.8835734307279,"C"
"'0'","'2'","male","'0'","'0'",13.7211650850835,"S"
"'0'","'2'","male","'0'","'0'",11.8306626467779,"S"
"'1'","'3'","female","'0'","'0'",12.072241164904,"C"
"'0'","'1'","male","'1'","'0'",19.6563311796896,"S"
"'1'","'2'","male","'0'","'0'",17.9481188581315,"S"
"'0'","'3'","male","'0'","'0'",14.0358228367184,"S"
"'1'","'2'","female","'0'","'0'",12.8913540577406,"S"
"'0'","'3'","male","'0'","'0'",11.4576152673028,"S"
"'1'","'1'","male","'0'","'0'",22.087339292014,"S"
"'0'","'2'","male","'1'","'0'",15.4424343621251,"C"
"'0'","'3'","male","'0'","'0'",12.1020977925205,"S"
"'0'","'1'","male","'0'","'1'",19.7263562467095,"S"
"'1'","'3'","female","'0'","'2'",15.744318850296,"C"
"'1'","'3'","female","'1'","'1'",18.0367977452037,"S"
"'1'","'1'","female","'1'","'0'",24.0987258145854,"S"
"'1'","'1'","female","'1'","'0'",22.4033780842827,"S"
"'0'","'3'","male","'0'","'0'",13.3909486529357,"S"
"'0'","'1'","male","'0'","'0'",19.5556444109214,"S"
"'1'","'2'","female","'1'","'2'",17.0746983762123,"S"
"'0'","'3'","female","'1'","'0'",15.8507008177419,"S"
"'0'","'3'","male","'0'","'0'",10.29349546941,"S"
"'0'","'2'","male","'0'","'0'",12.187029891768,"S"
"'0'","'3'","male","'0'","'0'",10.3361702220904,"S"
"'1'","'1'","male","'0'","'0'",23.8632630045719,"S"
"'0'","'2'","male","'1'","'0'",14.3756547489533,"S"
"'0'","'3'","male","'0'","'0'",12.1892983872436,"S"
"'1'","'2'","female","'2'","'0'",16.3089165512084,"S"
"'0'","'2'","male","'0'","'0'",13.8871017732246,"S"
"'0'","'3'","female","'0'","'1'",16.172393121781,"S"
"'0'","'3'","male","'0'","'0'",11.7582730838729,"S"
"'0'","'3'","male","'0'","'0'",11.8803373176312,"S"
"'0'","'3'","male","'0'","'0'",11.0775290939471,"S"
"'0'","'3'","male","'0'","'0'",12.7601631525718,"C"
"'0'","'3'","male","'0'","'0'",13.4693675199837,"C"
"'0'","'3'","male","'0'","'0'",12.8987055022664,"C"
"'0'","'3'","male","'8'","'2'",15.7375135099276,"Q"
"'1'","'3'","female","'0'","'2'",13.9433166980128,"C"
"'0'","'2'","male","'0'","'0'",15.2272264407994,"C"
"'0'","'3'","male","'0'","'0'",14.5970010697515,"S"
"'1'","'3'","female","'0'","'2'",12.7604578238076,"S"
"'1'","'2'","female","'0'","'2'",17.0577548494904,"S"
"'0'","'3'","male","'0'","'0'",12.6749337880977,"S"
"'1'","'1'","female","'0'","'0'",21.6483229791254,"S"
"'1'","'1'","male","'0'","'0'",24.3097924353698,"S"
"'1'","'3'","male","'0'","'2'",16.0468839356813,"C"
"'0'","'3'","male","'4'","'2'",16.5254226437246,"S"
"'0'","'2'","female","'1'","'0'",17.39027594884,"S"
"'1'","'3'","female","'0'","'1'",14.4365307735573,"C"
"'0'","'2'","male","'2'","'0'",16.9554300116681,"S"
"'1'","'1'","female","'0'","'1'",23.9945450668972,"S"
"'1'","'2'","female","'1'","'3'",15.8341028978211,"S"
"'1'","'1'","female","'1'","'0'",21.4370290660251,"S"
"'0'","'3'","female","'1'","'0'",15.7104580921764,"S"
"'0'","'3'","female","'1'","'4'",17.9849216866099,"S"
"'1'","'1'","female","'1'","'0'",23.1492459469209,"S"
"'1'","'3'","female","'0'","'0'",13.8005356741488,"C"
"'0'","'3'","male","'0'","'0'",10.801597225255,"S"
"'0'","'3'","male","'0'","'0'",13.9439337684999,"S"
"'1'","'1'","female","'0'","'1'",22.5154107157849,"S"
"'0'","'3'","male","'0'","'0'",14.5442065187936,"S"
"'0'","'1'","male","'0'","'0'",19.5560854554397,"S"
"'0'","'3'","male","'0'","'0'",12.6995319149595,"S"
"'0'","'3'","male","'8'","'2'",14.2042059645404,"C"
"'0'","'2'","male","'0'","'0'",12.1236147273347,"S"
"'0'","'3'","female","'3'","'1'",16.2416459080717,"S"
"'0'","'2'","female","'1'","'0'",15.7921417441642,"S"
"'1'","'3'","male","'0'","'0'",12.6263285770601,"S"
"'0'","'3'","male","'0'","'0'",15.1212999139164,"S"
"'1'","'1'","female","'2'","'0'",25.7463134708182,"S"
"'0'","'3'","male","'0'","'0'",11.9617120961787,"S"
"'1'","'3'","female","'0'","'0'",12.0592829448585,"S"
"'1'","'3'","male","'1'","'0'",16.0197558751681,"S"
"'1'","'3'","female","'0'","'0'",15.6843765518592,"C"
"'0'","'1'","male","'0'","'0'",20.6383008977982,"S"
"'0'","'1'","male","'0'","'0'",19.1039242293706,"S"
"'0'","'2'","male","'1'","'0'",16.2824001804253,"S"
"'0'","'3'","male","'0'","'0'",12.83553096429,"S"
"'0'","'3'","male","'0'","'0'",12.4609005048612,"S"
"'0'","'3'","male","'0'","'0'",12.9457762914602,"S"
"'0'","'2'","male","'0'","'0'",12.943439034917,"S"
"'1'","'1'","female","'0'","'2'",26.6212947511379,"S"
"'1'","'2'","female","'1'","'0'",15.6463875617179,"C"
"'0'","'3'","male","'0'","'0'",15.5650190216884,"S"
"'0'","'2'","male","'0'","'0'",15.2532656913401,"C"
"'0'","'3'","male","'0'","'0'",12.0487856176326,"S"
"'0'","'3'","male","'0'","'0'",16.2798204741431,"S"
"'0'","'3'","female","'0'","'1'",13.1244704439926,"S"
"'0'","'3'","male","'0'","'0'",13.6511135354417,"S"
"'1'","'2'","male","'1'","'1'",13.1698724862582,"S"
"'0'","'3'","male","'0'","'0'",15.2928069693687,"S"
"'0'","'3'","male","'4'","'2'",14.8665475467532,"S"
"'0'","'1'","male","'0'","'0'",19.3080485704727,"S"
"'0'","'3'","male","'0'","'0'",15.577930287872,"S"
"'0'","'2'","male","'0'","'0'",14.725942732962,"S"
"'0'","'3'","male","'1'","'0'",12.4866743497095,"S"
"'1'","'2'","female","'1'","'0'",15.9292110208932,"S"
"'1'","'1'","male","'1'","'0'",23.2006654241898,"C"
"'0'","'3'","male","'0'","'0'",14.2546720201292,"S"
"'0'","'2'","male","'0'","'0'",15.0462731273642,"C"
"'1'","'1'","male","'1'","'0'",22.807791186778,"S"
"'1'","'2'","female","'1'","'1'",14.6587676141746,"S"
"'1'","'3'","female","'1'","'0'",13.6261475533531,"S"
"'1'","'1'","female","'0'","'0'",21.4518087569558,"S"
"'0'","'3'","female","'4'","'1'",15.4305582857734,"Q"
"'0'","'2'","male","'0'","'0'",14.7788799242979,"C"
"'0'","'3'","male","'0'","'0'",12.2289043642792,"S"
"'1'","'3'","male","'0'","'2'",14.4359724694089,"C"
"'0'","'3'","female","'0'","'0'",14.9009963584151,"C"
"'0'","'3'","male","'0'","'0'",12.8100896721031,"S"
"'1'","'3'","female","'1'","'0'",16.8112846559613,"S"
"'1'","'2'","male","'1'","'1'",18.1906796627596,"S"
"'1'","'3'","female","'0'","'0'",15.4187937874696,"Q"
"'0'","'2'","male","'2'","'0'",15.5627531896194,"C"
"'0'","'1'","male","'0'","'0'",18.4959071509088,"S"
"'0'","'2'","male","'0'","'0'",13.2419990673373,"S"
"'0'","'1'","male","'0'","'0'",18.7721312595514,"S"
"'0'","'3'","female","'0'","'0'",13.9937105248074,"S"
"'0'","'3'","male","'0'","'0'",14.4146830715093,"S"
"'1'","'1'","female","'3'","'2'",25.2016764004264,"S"
"'0'","'3'","male","'1'","'0'",14.8171092305522,"S"
"'1'","'2'","female","'1'","'1'",15.0661498934505,"C"
"'1'","'1'","male","'1'","'0'",21.595244622682,"C"
"'1'","'1'","male","'1'","'0'",22.4064483405355,"C"
"'0'","'2'","male","'0'","'0'",13.9835331063115,"C"
"'0'","'3'","female","'0'","'1'",11.0834685750043,"S"
"'1'","'2'","female","'0'","'1'",12.263667853002,"C"
"'1'","'1'","male","'0'","'1'",23.5578101266619,"S"
"'0'","'1'","male","'0'","'1'",20.9887542064825,"S"
"'0'","'3'","female","'0'","'0'",12.9972914857881,"S"
"'0'","'3'","male","'3'","'2'",17.3998742244528,"S"
"'0'","'3'","female","'1'","'0'",14.5516044051999,"S"
"'0'","'3'","male","'0'","'0'",14.5114383095877,"S"
"'0'","'1'","male","'1'","'0'",21.6958324598274,"S"
"'0'","'3'","male","'4'","'2'",14.0252486050122,"S"
"'1'","'3'","male","'0'","'0'",11.0976122644025,"S"
"'0'","'2'","female","'1'","'3'",18.875435016633,"C"
"'1'","'3'","male","'0'","'0'",11.128928074913,"S"
"'0'","'1'","male","'0'","'0'",18.1922099297133,"S"
"'0'","'3'","male","'0'","'0'",13.7541802097137,"Q"
"'0'","'3'","male","'0'","'0'",11.996155940923,"S"
"'1'","'3'","female","'4'","'2'",14.3677349248555,"S"
"'1'","'1'","female","'1'","'1'",22.4451881526839,"C"
"'0'","'2'","male","'0'","'0'",13.0941018003166,"S"
"'1'","'1'","female","'1'","'0'",25.9841565833951,"S"
"'1'","'1'","female","'0'","'0'",25.0706248580111,"C"
"'1'","'3'","female","'0'","'0'",12.6027480964802,"S"
"'0'","'3'","male","'0'","'0'",15.5293944455464,"S"
"'1'","'1'","male","'1'","'0'",24.5039836175424,"C"
"'1'","'1'","female","'1'","'0'",25.8019819976334,"S"
"'1'","'1'","male","'0'","'1'",24.2046812580983,"S"
"'0'","'3'","female","'1'","'0'",18.8873916981589,"S"
"'0'","'2'","female","'1'","'0'",16.9626786336143,"S"
"'0'","'3'","male","'0'","'0'",15.1236613826146,"S"
"'0'","'3'","male","'0'","'0'",12.304966239002,"S"
"'0'","'3'","male","'0'","'0'",13.8535165561509,"S"
"'1'","'3'","female","'0'","'0'",12.788078314125,"S"
"'0'","'3'","female","'1'","'6'",16.5316081554161,"S"
"'1'","'2'","female","'1'","'2'",14.9878246453062,"S"
"'1'","'2'","female","'0'","'2'",11.2283879475843,"C"
"'1'","'1'","female","'0'","'0'",22.1575632454334,"S"
"'1'","'3'","male","'0'","'0'",13.557420702874,"S"
"'0'","'3'","male","'0'","'0'",10.9780251950384,"S"
"'1'","'3'","female","'0'","'3'",15.3915577830776,"Q"
"'1'","'3'","female","'0'","'0'",13.3225682103132,"S"
"'0'","'2'","male","'1'","'0'",15.3641575658317,"C"
"'1'","'3'","male","'0'","'0'",13.7572258664815,"C"
"'0'","'2'","male","'0'","'0'",13.5793928900788,"S"
"'0'","'3'","male","'0'","'0'",14.3723509735099,"S"
"'0'","'1'","male","'0'","'0'",18.5478649386396,"S"
"'0'","'3'","male","'3'","'2'",16.2053539887699,"S"
"'1'","'3'","male","'1'","'1'",15.7909506151581,"S"
"'0'","'3'","male","'1'","'0'",16.3842959440166,"S"
"'1'","'1'","female","'0'","'0'",23.9823774899054,"C"
"'1'","'2'","female","'0'","'0'",14.0269042941231,"C"
"'0'","'3'","male","'0'","'0'",13.084996681269,"S"
"'1'","'3'","female","'2'","'2'",15.405110919449,"Q"
"'1'","'3'","male","'0'","'0'",14.8004502957254,"C"
"'0'","'2'","male","'0'","'0'",12.5093214367483,"C"
"'0'","'3'","male","'0'","'0'",13.8937542122617,"S"
"'0'","'3'","female","'1'","'1'",15.8244399899207,"S"
"'0'","'3'","male","'1'","'2'",13.5364098851743,"S"
"'0'","'2'","male","'0'","'0'",12.8692008288886,"S"
"'0'","'3'","female","'1'","'0'",13.7436167305756,"S"
"'0'","'2'","male","'1'","'0'",14.6265246952747,"S"
"'0'","'2'","male","'0'","'0'",13.7741499056071,"S"
"'0'","'3'","male","'4'","'2'",15.4758830518185,"Q"
"'0'","'3'","male","'2'","'2'",15.4120024763085,"Q"
"'0'","'2'","male","'1'","'0'",17.9885115790315,"S"
"'1'","'3'","female","'2'","'0'",14.8411617959588,"S"
"'1'","'1'","female","'0'","'0'",24.3285865429781,"C"
"'0'","'3'","male","'0'","'0'",11.08148613629,"S"
"'1'","'1'","female","'1'","'0'",23.957049094296,"S"
"'0'","'3'","male","'0'","'0'",15.0061915604355,"C"
"'0'","'1'","male","'0'","'0'",19.3285506981808,"S"
"'0'","'3'","male","'0'","'0'",13.5449409513121,"S"
"'0'","'3'","male","'0'","'0'",14.0122974395154,"S"
"'1'","'1'","male","'0'","'0'",22.3411316607792,"S"
"'0'","'2'","male","'0'","'0'",14.0040877812791,"S"
"'1'","'1'","male","'0'","'0'",26.09738421088,"S"
"'0'","'1'","female","'1'","'0'",20.0729592578477,"S"
"'0'","'3'","male","'0'","'0'",14.6608119908668,"S"
"'0'","'3'","male","'0'","'0'",12.8053221304479,"C"
"'0'","'3'","male","'1'","'0'",15.2184167010117,"S"
"'1'","'1'","female","'1'","'0'",22.7117946946682,"C"
"'1'","'3'","male","'1'","'1'",14.2036811886248,"C"
"'0'","'2'","male","'0'","'0'",12.7344975568521,"S"
"'0'","'1'","male","'0'","'0'",18.0696823093685,"S"
"'1'","'3'","female","'0'","'0'",13.6436086792127,"S"
"'0'","'3'","male","'4'","'1'",17.4845861666916,"S"
"'1'","'2'","female","'0'","'1'",12.0879790354543,"S"
"'0'","'3'","male","'0'","'0'",13.1676147233772,"S"
"'0'","'1'","male","'0'","'0'",22.5894611584891,"S"
"'0'","'3'","female","'4'","'2'",15.8310086817536,"S"
"'0'","'3'","female","'1'","'0'",12.8252559151823,"S"
"'0'","'3'","male","'0'","'0'",12.5379713430791,"S"
"'1'","'2'","female","'0'","'2'",13.891723388822,"C"
"'0'","'3'","male","'0'","'0'",14.2578448371121,"S"
"'0'","'3'","male","'0'","'0'",13.2650221036451,"S"
"'1'","'3'","female","'0'","'1'",12.560448587913,"S"
"'0'","'3'","female","'0'","'1'",13.8193141219103,"S"
"'0'","'3'","male","'0'","'0'",13.3922529986638,"S"
"'0'","'3'","male","'0'","'0'",12.5977386653285,"S"
"'1'","'2'","female","'1'","'0'",17.025766080923,"S"
"'0'","'1'","male","'0'","'0'",19.0008320580673,"S"
"'0'","'2'","male","'0'","'0'",15.9876345647819,"S"
"'0'","'2'","male","'0'","'0'",13.7849734134381,"S"
