"IO","PA","HFS","DA","Area","A_DA","MaxIP","DR","P","Class"
294.4748456,0.0899019953859954,0.0509759056306609,31.614943457524,607.245052240927,17.2137156381784,33.977551516687,22.412127902258,303.638305569724,"fad"
391,0.190771310455396,0.0950165411297572,123.533664280667,5236.24234591533,29.0559746534773,85.7524273014422,91.808977018996,304.717443841098,"car"
1666.148786,0.0909058882831648,0.0664993206396326,501.764928916506,10393.5003556037,18.8131440539417,98.0297424614083,564.956989292562,1224.17426991682,"con"
176,0.147280953615139,0.0912834648735468,46.4334426136616,547.754451879684,7.08460173601631,43.9261094861967,59.3883284112647,162.852104356931,"adi"
1900,0.0820443769498294,0.147026354349778,548.168340071664,21705.7808507005,44.8728414700758,214.115354356499,510.210504449198,1156.34582358228,"adi"
366.9423791,0.176359136679381,0.149107931406382,109.014311051602,1188.47236244879,23.6162252507156,35.6203463049471,77.2642460781178,376.669169486978,"mas"
260.277521,0.111373575337152,0.0874284472639902,67.0040741830475,1792.35144992256,21.8543504608835,34.1927540772838,21.6725415372309,336.478572557174,"adi"
362.8312659,0.0976473155305849,0.0708512982231577,71.6934068404686,472.200171517419,10.5197458554333,20.2757968060848,32.1692020908253,504.356430091017,"car"
1461.750342,0.0699792208325984,0.0635170766340842,407.665925770212,8388.62001354794,20.5713495321303,85.1486843452611,440.047024309334,1187.61253116106,"con"
327,0.168270282951712,0.161312529289437,70.0674316772945,2786.62897253321,22.7055933018565,51.2310818324158,61.6185820083705,342.761198600271,"car"
236,0.0867974128609869,0.0931180687382439,41.1051718636098,955.822716549339,20.0215941195449,46.4158884655185,3.07533228231549,273.820358966405,"gla"
649.3693973,0.110250661716429,0.0594253123360543,315.337755287371,5892.13399872416,24.5584512010593,46.4936047771724,290.428086927722,502.790604497224,"con"
310,0.166769042066645,0.189930158807148,31.874741215205,1719.41149882582,27.2425994105091,34.1335371164245,23.2637643704515,366.568833903299,"gla"
691.9720314,0.0817375615002788,0.0703727864082615,298.96429294598,8390.59420473313,23.3426996011682,62.6299185356254,288.612932431457,575.697047704961,"con"
1650,0.0546323012942257,0.0850435666450053,334.256295824576,6792.05856708944,27.2034057889698,97.9760260550681,281.839289807699,1784.44009227791,"adi"
160.3224525,0.146482110271354,0.0942968040556297,44.5071352405188,742.166068216182,16.0728320306838,26.0852773523823,92.3053407943559,258.751811938726,"car"
245,0.0906460662192291,0.0740981737193079,23.7807394523101,342.561033304971,13.7295020576069,18.663676058741,31.3727560491839,241.741278821743,"gla"
352.6564468,0.139291769801749,0.0942128780198021,59.6999073344859,509.459963996502,11.3528650509294,41.0793542853497,45.2571176848586,358.504347013317,"gla"
2350,0.0981710996924984,0.150372607860486,474.176097046294,32277.015245986,55.8958898818565,246.956188571535,493.067111874593,2320.02763955448,"adi"
1535.85074,0.0456211695461093,0.0615750516148584,256.948995665884,5717.27187165522,17.4588919627889,71.9967315083256,199.917995710467,1527.00042561809,"con"
290.4551412,0.162983320848811,0.17089628614979,45.3700319813771,2111.38981770648,17.6567447439021,36.0305278578096,47.9800647041871,403.462420890231,"gla"
196.3648643,0.115565215934605,0.0501640036794848,41.8750748748288,1345.83990953449,20.1452407251096,37.8694118366249,38.4413806653933,331.821401638521,"fad"
269.4959463,0.141903314982728,0.099447864718266,53.9298393964472,1991.70548801999,30.3297625232014,37.9872591480448,41.5222892744125,261.800112666924,"gla"
502,0.141656271908539,0.0719866697001215,168.53108444976,2736.00641338476,15.743309941555,42.0110580709393,164.301324540313,447.14251951284,"adi"
435.0931666,0.169412850101971,0.186478253424514,151.982862859273,3450.92525756709,14.5593023816341,61.3540672328323,108.072924504847,418.066044749428,"car"
178,0.151911447152293,0.106280598283996,80.6725936028214,1323.18466251702,18.5648378717551,27.7770134524643,62.7252707005,298.698658921591,"car"
2600,0.0971788472533336,0.093240533786169,528.327689788153,32749.4503750105,49.9795709172783,201.842123879667,477.744245305184,2236.74751782016,"adi"
1850,0.0651829200899042,0.109775051133887,343.879205439697,17618.5078245911,48.1200802247466,179.134022943081,248.490383099568,1422.51905819549,"con"
275.6773934,0.175153082392819,0.202425537453794,125.825906068099,2876.61035431443,22.327806478046,38.3221728587641,88.3516733771171,366.938708508278,"mas"
195,0.161102669873245,0.134945967945393,31.4411559305405,93.6725731394812,6.44856738555926,33.9466715962219,46.2360934639578,227.281143110778,"gla"
281.3232629,0.177571236081497,0.197509791547533,118.623963789434,3730.80453778194,21.4726402081621,56.1740873609009,146.742766338152,338.817662150969,"car"
1800,0.0615373598366013,0.142118682427455,234.801237881795,4047.26619498654,10.9680823522725,105.298687760422,252.883981624129,1825.61022017349,"adi"
197,0.0962385704437564,0.122776313130424,93.1001896411432,824.240791711135,14.7124473273114,17.1263881646253,97.9067854646028,285.191345024528,"car"
1800,0.0843780280475664,0.16756501571809,516.586197371297,16847.0097816458,54.3924484853633,205.137965049783,450.445191865017,2478.28684602537,"adi"
152,0.120156040890261,0.0948552576936845,34.2509052404469,1192.52480275534,15.5295882903765,37.0861394082702,25.4508286260517,402.307416369027,"fad"
172.5157973,0.173020264250083,0.204296831172142,67.6951609545811,1205.22901627692,8.3361609414906,35.511986604278,66.9118909389047,228.889510101282,"car"
2000,0.109803776714581,0.127593693091299,475.898330885297,32682.9883936043,59.1384111489812,230.207862449876,483.704907083042,2649.70675175825,"adi"
250,0.0972142544887931,0.087926633003845,20.0205939401349,245.317617492728,6.20598191971992,41.3666773496643,-0.785302198450154,196.21134270548,"gla"
2100,0.0954276617750567,0.152157919324082,554.360727118253,32117.0308553436,53.7454606321923,230.769226470159,501.547267584315,1077.52082001004,"adi"
341.6200131,0.140678196909327,0.14084757989974,111.20042116558,2566.41451225614,24.4762415308298,38.7099381040806,89.9224155949418,370.150049546687,"mas"
274.9933959,0.104298536902988,0.0814867654383696,36.0745033713577,155.485933660061,9.1187821553087,37.8181919526304,-4.81096548633845,282.46645994624,"adi"
300,0.156200713680107,0.171345738210258,98.7170620883749,1818.03302668755,23.069092227008,45.3015068747716,103.334461131625,324.927913745805,"mas"
1496.736054,0.0931576998581148,0.0568696152502135,613.011406532214,12101.1366613527,26.2008522210492,98.6275760438948,504.825148878519,911.249067384395,"con"
355,0.150653460371043,0.093343184325975,87.758743168945,1600.55547911689,24.6558935649842,33.9103908581233,65.4116518727022,347.444642768799,"fad"
121,0.158462670383886,0.19242106755767,42.8688320398976,1208.73885703778,18.6620321363123,42.0281843161267,97.8307758144004,298.928069519058,"car"
145,0.127619327762,0.095024509202713,28.1136474504904,1979.59665777891,21.8468099851287,47.0476335598347,0.69398450665704,305.416561839882,"gla"
1800,0.0683709133776275,0.120870289803643,331.781223381518,11305.998209469,25.0090106656425,154.568851605888,309.403862109765,1325.54975967639,"con"
524.794072,0.17630295215393,0.123345655986685,213.440297794266,5449.40091925424,32.5267218284866,54.3053452260177,192.001345196919,565.767326079974,"car"
544.6543495,0.172545071014725,0.125633934500578,217.67340357412,4791.76016466329,17.0333986412594,58.9915259297443,141.168779870042,543.568314468532,"adi"
325,0.142477044452829,0.121805189073191,120.582577616848,2606.5155471014,25.602749334554,52.5805774128652,111.903380707487,328.880095299603,"car"
330,0.108606945240754,0.108611745592577,63.9732439430904,2261.35539099883,27.6676802211843,50.7011067931509,85.4285685859205,349.895121689076,"fad"
1600,0.0328181652473573,0.0271604524455548,282.42917888807,3581.22790076308,15.0942813624709,58.0853352698714,270.169034157493,1160.74688337992,"adi"
389.8729777,0.147646315399847,0.0920062421531344,116.444779932957,1895.7123134096,20.3856981079131,71.476301416501,41.6681089913414,446.738104110179,"car"
370.3957247,0.168770411021727,0.130731679457278,108.336505727006,1970.67190228551,28.3785579046365,36.2356458433581,105.86135772974,405.165820378123,"mas"
2100,0.0761510339880453,0.14504739815966,372.232007813295,27244.3973603453,52.5685737318996,226.659403710593,261.44371716923,1881.76490914613,"adi"
252,0.0923775358397691,0.0598875731727891,97.8110638992387,1480.24034681187,18.7660006486874,66.4294421612512,128.579403900693,300.81260535381,"adi"
339.5085476,0.132740526588369,0.0969708481632037,43.4904837395369,664.636973090762,12.6544290782464,18.639004721162,50.6412743264194,308.426009221695,"gla"
211,0.0796610825316091,0.056931643630622,37.5159121607541,333.486990336841,15.0840670119526,13.3827669879951,-0.677172039294888,216.987758773425,"fad"
1385.664721,0.112873384611488,0.0822864869404386,495.608552121178,12637.3976421032,40.9061071700383,108.996147822189,501.160303282035,1451.64807741161,"con"
178,0.164696741569803,0.151736982373307,26.6058338339517,1481.8183719224,19.7050537493741,52.833727390758,49.3923464713749,262.953541238648,"gla"
1647.939811,0.0976986218246162,0.0256813606227089,456.106681187077,10760.4168709578,27.4668418774754,84.4383741686556,463.46194035496,1866.16625276502,"adi"
1949.118155,0.101632379262748,0.165369371067037,547.375237376764,32073.1450766209,50.4364317553769,234.638153079196,541.52095534495,2471.22342634412,"adi"
196.8567142,0.125982081503345,0.13748328172641,135.11066969234,1714.89038609075,22.9366982298485,35.072631017131,125.880306655981,250.879583421203,"adi"
380,0.154324599874684,0.198874768627096,79.8594749222296,1833.02784893976,23.6431495026275,61.3844645562848,67.251735263931,355.131612143696,"car"
470.5164201,0.176074392472813,0.172304740223158,162.284428895635,4388.27826232665,26.6510778089508,62.9970231146454,133.356765497436,505.287526359995,"car"
770,0.097409976189391,0.118725482066225,352.75759712255,9920.78064569608,30.3709343873997,117.115821892384,283.384032856058,681.020210676078,"con"
1700,0.130674457757752,0.106776844952271,512.212990872705,19854.0513565737,46.5090128191435,142.014649837694,453.159670000108,1672.13242159711,"adi"
259.885145,0.0744665418422056,0.082996727779364,93.8590273605115,1953.70359556784,17.3903771555452,41.6202723810316,58.8632897831281,398.162206486624,"mas"
1500,0.0777892322961093,0.119122181388161,303.342374959924,9139.21722248687,16.8843909027631,108.827239225713,298.814814365939,1740.69958758267,"con"
197,0.13342405819465,0.123836844826849,78.9735348971353,2510.45028341104,24.02421619093,35.0482004991668,12.3899473067159,288.9216305985,"mas"
485.6688055,0.150110195945994,0.0661449662730516,109.164611811705,3294.75215547578,21.769914741659,60.631156029636,53.8448147458592,483.643337496816,"gla"
423,0.137395690275931,0.109384522401597,125.124895181267,2258.2243914975,14.6749883460147,51.5870090948878,175.144315158916,352.153795188558,"gla"
1270.666717,0.0643848404753318,0.0518853189117739,386.183858708106,6140.630290675,22.4274620308119,85.3145747303502,403.427844382044,1639.05302838413,"adi"
500,0.183050745981868,0.171581788625899,185.113662274144,4720.34448845191,24.0434723338795,89.7666447365084,213.414200046411,769.922753235474,"car"
2400,0.101220627871587,0.170761442582361,475.118611453412,32376.4699507028,59.370661897373,243.434838941697,520.239532975218,1986.487386512,"adi"
500,0.140572912129617,0.0907519199753513,169.713119286938,5075.40573683777,22.9164414314356,73.0577729004263,111.790600640376,800.963896248382,"car"
200,0.0764459985898868,0.110274811047464,41.7754478478698,210.203075589436,5.26734281008644,18.0614917979459,23.1365598780197,347.644710695167,"fad"
144,0.125323122710586,0.158509204945715,28.9032583397482,1658.3113740987,30.2209204117712,47.2489042584468,60.2063697057953,262.312433653295,"adi"
2600,0.137447343451807,0.117508763648818,498.09428133786,31075.7150523206,51.4442623646623,229.545018416597,477.072014324717,2284.97396009656,"adi"
1111.814068,0.0713733077314704,0.105250195418061,322.052478838757,5166.02607484304,24.9586913240381,67.0102125174987,225.875344926238,879.220031906873,"con"
481.4671493,0.149176609794003,0.107016409117445,125.522591438973,3265.88537844131,24.3388089824009,59.6666530814998,155.442994252563,355.127129818578,"car"
2329.840138,0.0675947752412376,0.139499967863811,363.926745362771,25685.2011511671,50.1089234105931,229.990601048003,230.563429643943,2710.96574375098,"adi"
124.1287282,0.159162720591189,0.199799255138526,49.2472809337274,154.877962343135,6.30714622152738,45.6932823774646,38.1007339364932,165.295933955744,"mas"
