"AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4","eyeDetection"
4274.87,3988.90094092128,4288.35857930699,4540.81514868462,4385.64872392311,4032.30510163182,3076.95320107936,4612.31974633361,4237.35311963636,4245.24743459213,4207.78448171063,4295.8296765068,4378.29784403558,1603.25503774519,"'1'"
4376.92,4054.94413310204,4195.00651237229,2649.85681635478,4332.44572218389,4389.97646328226,12538.5745781825,4631.85968926002,8185.87698049106,4291.3017096795,4302.20182772754,4328.41442905761,6621.74435692458,5071.2172372085,"'0'"
4275.9,3986.27591091721,4283.31685508763,6932.84355088998,4382.69201168694,5844.39597068239,9284.83713455024,4718.66361882505,7523.72260020672,4305.69004469494,4257.73373942362,4320.98202650507,4095.66998013152,10948.7699732374,"'0'"
4290.26,3999.7352524904,4299.5462132299,4289.12436355329,4392.48600526066,4606.7686226735,3841.58994676697,4611.02223419671,3787.91568536403,4218.67014049489,4198.25870716541,4285.61477397869,3511.20604368581,6546.16655131578,"'1'"
4272.82,3986.49855359536,4273.93002934201,4898.6414158556,4380.71088723747,3220.6922383557,11260.6193521219,4635.77929617963,5880.36898724927,4273.81044923231,4236.7783461139,4296.10466606865,4576.73040957792,12782.5949541093,"'1'"
4249.74,4003.01998584425,4171.49338632746,2666.83841949287,4338.1686676221,7326.88201383905,4405.61792468678,4708.11689462314,4876.67512164306,4312.86988966696,4250.90419034758,4304.29210525666,3075.96309068673,2439.00165967937,"'0'"
4401.54,4076.96236188841,4312.18758729467,13382.3203564784,4394.20151909523,4882.53945649263,4946.77610908159,4726.03869149009,7288.72790280199,4339.63896008684,4296.85252901134,4368.96164474803,4848.54840934813,4619.12098748667,"'0'"
4298.97,4009.59582235707,4203.93092514015,14783.2303754424,4386.10975602011,4795.79704573058,9458.88640526928,4722.5924168851,3985.81068155489,4230.41517003016,4201.83156998451,4285.03672173983,4049.76918302883,5258.03339166721,"'0'"
4287.18,3996.0994158268,4230.84469900562,7940.81437655827,4381.9846726195,8034.97349749085,5849.97425996365,4722.50039014118,5508.98919810881,4309.99690150232,4256.73665711729,4306.54185911106,4778.47371919359,6547.18558563974,"'1'"
4315.9,4014.41524512527,4252.54864026415,10012.2295388829,4386.03918945871,4490.11931439528,5291.39581032888,4631.55854723873,5387.2180810355,4289.4932058564,4254.86068890942,4298.90851778106,4150.63653389307,8026.77908580116,"'0'"
4272.82,3986.37647167757,4260.07651607513,11616.0617499595,4379.65963485679,3604.89325880714,5090.65477928257,4637.91949042307,5163.03724625009,4274.4830863658,4234.23622163781,4293.9342032099,5193.8448292485,12047.1416894611,"'1'"
4327.18,4018.10585313384,4260.70624374602,3071.25238603749,4338.12086362027,8799.66980876498,11680.2621086924,4710.98531272384,3550.61944608035,4241.33200798497,4229.92678976408,4312.58086154199,5657.6865218568,11978.5202894061,"'0'"
4285.13,3997.85843552324,4233.67776453149,14132.0494198557,4382.03786935399,6097.96429574832,6419.83024956689,4722.03815753,5278.02451148696,4312.63966433315,4255.47225783654,4304.16845894792,3690.77161567704,5174.02765613879,"'0'"
4287.18,3998.2658183568,4286.5888761134,3169.47247322856,4339.28707481694,3603.14726510415,3144.62623126975,4604.27169874296,4412.0572239698,4296.69529604069,4270.52053925635,4317.71807679966,5848.63531101285,13857.2706811063,"'1'"
4280.51,3989.21879141595,4205.11027302577,12254.1672188079,4377.69941339084,5908.90939946723,6311.28703871816,4723.91921061976,5750.85460684802,4303.18359889825,4253.25619927029,4302.56300428618,5042.71420808143,3216.91264983087,"'0'"
4291.28,4005.97755366818,4299.55839750212,3679.40337877061,4342.25893186646,7357.71404472284,11210.6740343978,4716.34029465874,5205.39254296267,4325.76191318773,4266.63692301198,4333.11382876981,5020.82654911403,11509.006861005,"'0'"
4273.33,3991.14178824854,4240.7706573954,9647.32106921706,4379.2464157869,7719.40467115101,4717.99334454181,4721.6655733026,6234.55485435771,4305.23225993867,4258.29826088397,4308.27021908524,4960.89127533817,4895.06776047715,"'1'"
4268.72,3992.37916508338,4243.68379313414,2534.71702709657,4328.46561389771,3359.70496286649,7954.55641418257,4639.62293225473,3114.40111962303,4207.76124554811,4193.75495904809,4272.72835745259,5120.62153988079,14696.6984306473,"'1'"
4278.97,3997.70359294138,4220.37411789744,12676.879312943,4381.86718273057,6443.20628949942,7981.12895580412,4722.12780175532,5588.67498759986,4305.88271390811,4254.7162973078,4304.64347354912,5144.52438259949,7596.14282255132,"'0'"
4299.49,4008.20905782887,4219.86880648388,6017.02084549498,4386.85021863084,4178.03233306049,3959.18759901471,4606.65362649115,4416.60875455642,4297.92162873689,4259.14277061657,4295.50488038719,3686.78818177357,1656.27531814091,"'1'"
4274.87,3990.65865675396,4249.17969667351,5166.16969554136,4377.79818194248,8744.00480010933,3787.8499019363,4694.93195614913,5061.33173728771,4315.67467742496,4262.36873074739,4307.76287617143,3801.26526520333,10216.0701407306,"'0'"
4304.1,4011.44177575026,4211.0085494461,3624.73571085243,4338.89371202305,4713.05934395768,8136.00697976137,4691.51552477224,4617.08258811322,4318.76214557738,4256.03861288417,4309.1547593392,1624.49591307009,12158.0860032677,"'0'"
4276.41,3993.73036895161,4202.2425590026,8359.90750101213,4378.2722429045,3133.34976567484,4058.13076839725,4609.15655130275,4524.96118983959,4277.04916455992,4242.22960633399,4289.31394032544,5236.73403962851,5416.06034531631,"'1'"
4320.51,4017.86637257087,4259.79675976594,5451.99121759959,4384.55739798978,5305.28419444464,10246.8113231349,4719.47699389574,3159.2362297307,4237.33296891277,4218.90807004344,4300.40677439224,5179.99241909129,14254.2016070979,"'0'"
4301.03,4008.6878176136,4219.37636588374,2622.42819396612,4338.09974942129,7263.5906749722,2208.39269112662,4687.24898724549,4074.82143974394,4246.12248536896,4216.38899606127,4282.65861269663,4358.31043214017,3813.9744890893,"'0'"
4280.51,3990.72497068966,4285.36834945702,10097.4543961833,4385.19892585509,6401.62284804729,4431.59656483322,4718.79632637571,4600.60327708785,4306.64780013516,4263.34666308293,4322.4145338748,4392.67142336084,9354.19461962051,"'0'"
4285.64,3996.13688687619,4242.66072330992,5502.34696013933,4381.72064593095,4737.91843733797,5234.02962843744,4721.38136453084,2868.68198359512,4234.24394663352,4204.83211869385,4283.70439176945,3545.76351127067,2554.58250742924,"'0'"
4292.82,4001.42264196732,4243.70325114698,4942.04228253786,4382.01961050505,4127.90348055672,2625.48039571572,4603.64702022307,5727.01414431194,4290.04843062722,4250.008046857,4294.65525404609,2977.31363924433,5516.85522739358,"'1'"
4291.79,4003.98708967742,4299.10483674743,11377.0542943628,4394.30241170395,6091.29147299961,2693.15842514589,4692.81684364239,3075.32645354255,4243.31635748184,4219.29570708612,4310.50236504207,3406.61584385524,7702.76568517798,"'0'"
4292.31,4001.74396795861,4242.9129386852,14552.9952653063,4381.42625362244,6291.80260129633,12553.7354421354,4725.51452071701,5838.1706167377,4316.12551594832,4261.9307666021,4307.0053597621,4302.97570763539,8957.92346730334,"'0'"
4309.74,4009.71692661817,4287.0948432682,6714.67829947889,4391.89633761376,4419.07494811055,8194.15925010039,4640.73917198665,5136.39270667774,4284.9129133441,4252.93259082729,4314.10532899928,6281.49347665211,2660.35897743875,"'0'"
4371.79,4052.90672074411,4193.09742707984,6671.52813251076,4395.32166134034,7991.14396622672,4037.17473315144,4700.70281793181,7822.78132782532,4340.71380817754,4301.52250384136,4334.83810057813,6325.43006853172,9984.4997112959,"'0'"
4313.33,4012.44981617108,4331.42040044969,3412.76316413244,4337.53980388026,3106.98686819385,18220.608926258,4647.3004041993,4885.11997002404,4302.90258992804,4282.90976082872,4333.16112698047,3972.01127629231,9085.3237023211,"'0'"
4298.46,4005.23231507418,4238.45585791531,6870.13109713255,4384.45466445787,2936.09449959305,8339.68955972335,4633.96719142704,5998.99403426675,4287.48363932475,4247.33446219205,4296.55291170068,5147.9986073511,3810.67610009998,"'0'"
4304.1,4008.29061280841,4250.74613342957,4684.89075906539,4387.05003827617,4778.99493611973,6687.19200971867,4720.88926100191,5878.12483424649,4319.11670438591,4261.58382438737,4310.99083152822,4481.25345213652,7628.59749514622,"'0'"
4411.79,4079.1995545849,4342.33268998603,2807.31640057168,4338.33095327842,4925.53090523852,5517.32619130243,4710.2578270839,3320.2316910034,4249.89134812096,4261.86083788607,4349.25556116293,7422.19593298527,10811.3215243716,"'0'"
4297.44,4008.37740186553,4251.47361347065,6090.21898840273,4386.37573754628,6126.80152901776,3514.47859645181,4696.58278817096,1688.48390346722,4243.2565696067,4219.3173252906,4291.15308506917,2513.31331642432,5889.6297843286,"'0'"
4304.62,4002.3043987514,4248.21088374737,9286.94473461568,4382.55496909936,3521.80020285456,3751.26268359001,4603.68309958814,1450.48202353229,4213.93676455675,4198.40808029087,4274.07965440697,5356.40730787491,12644.6808547477,"'1'"
4302.05,4006.50059822871,4310.24314695507,2858.95626888033,4341.21301021066,9912.33507380743,9721.56457379433,4714.82810392777,2778.71974849113,4242.848246702,4224.59143206797,4316.41652521826,4835.382127249,2616.48420926753,"'0'"
4295.38,4002.91532283467,4264.30068806015,5381.84287821858,4386.03483242272,5045.68208920884,7209.14654369589,4721.27592076255,5152.25235174632,4310.70399568104,4264.78439183359,4309.62715539005,4792.54022669541,10323.9814003633,"'1'"
4303.08,4008.60639272355,4361.61733885717,11635.6468990353,4427.16120066035,9460.57217834698,4866.52430495916,4716.0640401655,2093.37933881821,4236.63079265037,4225.71769658626,4320.13322790478,5149.94862390342,1844.94724297139,"'0'"
4323.08,4018.30493174472,4316.11132684162,12224.4072111573,4405.40999808516,8247.16429301354,7791.55011952561,4720.08074434292,5949.12893456937,4318.93635847256,4272.04985911422,4335.80025370243,3125.74070921022,5325.70999071883,"'0'"
4291.79,3999.87801490932,4221.68200319953,2542.1060403062,4337.0659524349,7537.49949493349,3935.82880028065,4682.28857055437,5064.1798078442,4336.73026062974,4260.33467077734,4305.3096770612,6375.0598228078,14044.6464767297,"'0'"
4389.23,4057.55929731817,4265.52035026961,11462.5648801687,4393.75631603066,5178.20086437974,4552.01487411593,4723.41440126706,2436.23778538039,4242.09833147516,4236.08466825722,4320.36468034367,4578.70321686523,7262.62245849118,"'0'"
4291.28,4003.56949131846,4249.94497796142,15163.0098667419,4384.4861555016,10275.8259384553,3183.88642049213,4698.2122077019,7647.95270300847,4324.32626447343,4269.28980339677,4314.29179364792,5105.37062417187,1743.10735518589,"'1'"
4284.62,3997.13364102782,4173.81256200559,6273.05018825715,4381.9410943754,9314.54820512682,7647.7895829465,4723.05049972342,7140.74211105232,4311.61446778542,4257.56681005855,4307.99889735237,3980.25177359737,10183.7092467319,"'0'"
4257.44,3988.79341753689,4238.63748466615,5469.71603721883,4381.06566176055,3740.25638415808,7249.97081463418,4618.69670127188,4235.01536207057,4233.08913510617,4196.42624285868,4268.00065626035,3260.31806030568,7446.87668901512,"'0'"
4349.23,4020.17982055227,4232.21982095104,10269.7587545223,4385.41739701934,2805.83062348932,12531.1722441807,4630.92582755076,4400.41083078634,4288.31764979989,4263.4108636046,4307.51443767125,6125.85450522052,3370.36767138048,"'1'"
4267.18,3983.62800919537,4325.24233688243,10997.3429363703,4401.39254511174,3172.85010125932,3128.93074461144,4610.44635665674,4881.03542276932,4283.29726830386,4252.90080681565,4305.77928014344,3705.7221232842,6235.13408351303,"'1'"
4306.15,4015.26373314199,4339.34925283457,7168.88657122064,4415.0354671135,8990.06450653958,3399.80441654528,4695.36376642348,7721.86190038729,4330.77340082468,4284.43243016456,4339.0502543503,3741.43468943267,10300.184493196,"'0'"
4285.13,3994.27591200894,4213.92866538647,3842.95027253565,4332.76488589038,6793.64948892016,8992.10045781099,4714.88536788929,6592.66201423013,4319.95210723526,4255.68328483225,4309.52856032901,3243.63675136785,10582.2315768857,"'0'"
4272.82,3983.04230108249,4224.36383474214,3292.9703854978,4327.54259680822,5707.69171071907,9973.90019777073,4710.79111083116,3887.37794148079,4232.76485614497,4203.89421629417,4280.97177904631,3270.33002915917,12669.1095708752,"'0'"
4295.9,4002.32236255192,4178.32793231213,4872.39212849776,4384.65233203895,4292.01462375436,6342.20286576674,4633.11824060498,3508.45602918078,4205.22883143694,4180.99680103267,4270.87040444432,6882.65775049032,11908.2589904174,"'0'"
4276.41,3989.94608665074,4290.10416911681,4519.63392181728,4385.66513362441,10047.1292666473,7501.93908589788,4719.95408881138,3523.24381968437,4229.88025134037,4209.23881050467,4306.46363310849,7558.40382521003,8657.32895058516,"'0'"
4313.85,4013.43318188158,4230.06917853584,6600.7738546064,4387.3220497745,4795.95332113907,5360.34954672278,4727.92025062079,1956.67976306461,4234.27568329206,4212.31657896038,4293.77322447397,4233.750676768,13852.1740348974,"'0'"
4267.69,3997.11856381103,4210.01836939174,4072.84405256238,4336.38810909894,5929.00590418072,8605.25949580049,4709.12874644604,1417.63968689067,4232.49412977463,4205.05048702981,4278.3793431519,4094.61939684419,5777.96597841679,"'0'"
4258.46,3994.75369997946,4229.79913494421,3334.23834875476,4337.57079950937,3244.41390665321,7067.47290372523,4627.07661495201,4987.7448180753,4276.1012912308,4256.60044514489,4299.39050778019,7890.83751858781,4331.17688785631,"'0'"
4272.82,3989.59094622058,4272.71177506993,9243.84993635007,4381.3135011881,7827.72256079278,15670.0503184636,4719.57364870229,4404.11439575014,4304.97211947198,4261.39451002412,4314.69555201465,5035.06498809084,11223.3603322363,"'1'"
4284.62,4001.55247349781,4238.59238109396,10323.9152389416,4382.03758260858,4677.52958766715,6049.79264861707,4673.55551095575,4159.53552977135,4213.25186707398,4185.55282244843,4267.68886294059,3908.53307857402,3846.85703228447,"'0'"
4311.28,4009.40495694962,4282.28389099661,10082.8824664666,4388.98438612781,4335.08945035005,5774.92854111165,4641.14258904312,2240.52885205089,4214.10049149764,4191.30954467084,4292.44720938607,3642.14661244719,14284.5626603439,"'0'"
4314.36,4014.61263857326,4216.47616006095,3737.22841693123,4337.23533539822,2780.03774364928,9776.7055802786,4635.78568728565,4804.97298720812,4293.84024629926,4274.07663770398,4308.81772255305,4067.15812346388,12914.2289135008,"'0'"
4286.15,3997.41496763599,4239.1197230903,8659.24150299534,4381.75656727318,6610.60855320696,9492.44218044381,4723.86475455898,2808.64037739098,4234.34090959528,4204.18026688581,4283.9950605107,3508.39000848385,5100.33013997987,"'0'"
4305.13,4008.92473541414,4281.96975802796,11515.9911988164,4387.94565360647,6304.34447480126,4831.35538899415,4721.06178675151,5972.09764740632,4315.07233868266,4265.91159118374,4325.95821175728,4408.37849345964,3213.83506803499,"'0'"
4296.41,4003.75613811862,4244.61871978583,3606.29081598731,4335.48376980096,4030.33068484436,3030.16458178135,4594.11908683642,5288.52479760641,4305.61256978511,4265.49937538675,4300.37878709645,8161.48717302357,7931.44324038838,"'1'"
4308.72,4008.4329180941,4316.75473761539,11206.7709479595,4404.79784081827,6908.84301978646,7403.95363678655,4716.70310236035,5170.43809391537,4317.90533210604,4267.48197073119,4325.41549129919,4217.62585636495,9603.46192416497,"'0'"
4306.15,4011.53550833701,4244.7627526862,8671.12636067514,4387.56738981731,5857.86611114351,4897.55236987314,4722.5850406062,4525.58034792886,4319.76156885501,4265.80562080131,4307.93270266029,4881.39139259063,6328.05125157583,"'0'"
4301.54,4005.2220338949,4305.34871233425,11683.9873230188,4394.16213411921,5744.75936125201,9722.94524878661,4718.22302648421,3261.06299351284,4234.03143972799,4210.14612039422,4312.97898312244,7153.79278514314,6382.19015539235,"'0'"
4274.87,3985.89519604359,4214.82019181872,5680.40673785677,4377.0827346649,3052.96843764917,4996.60003655853,4626.37715259777,6856.00823071007,4269.16353306412,4228.23334443138,4283.46464880321,3185.71665068476,5096.39270911704,"'0'"
4287.18,3999.54588645996,4349.87548414016,8944.2318164912,4420.81450782364,6075.06010888804,10582.8291495139,4719.96373494408,4047.05053799057,4234.18296046969,4223.47859525951,4316.15934459414,4641.9725117559,6892.86171745495,"'0'"
4310.77,4013.15208578334,4280.66583476576,8514.26953133228,4389.02005882579,4668.85822727771,5110.31490993783,4677.00854514831,5980.05077956377,4287.09235612239,4234.72286599518,4311.11184466982,2819.42885247294,8899.71451989673,"'1'"
4250.77,4002.26073793729,4236.94754265913,7360.24736563664,4383.09658835425,6989.1565865073,4851.82561917232,4716.6794724044,3831.14382747634,4222.67960713009,4190.43691347787,4273.0084422238,8228.28374297957,12964.8861258482,"'1'"
4388.21,4055.63052746379,4294.79000645904,4202.52261141762,4373.32937379481,4295.36619017141,10586.6833337434,4636.29714800915,4799.55749716541,4291.99884402059,4282.06377831638,4338.41449183556,2434.25114823448,8936.41895664747,"'0'"
4280,3994.25178024962,4241.74906443671,4655.72506991478,4379.16434056153,6566.53264288284,10201.0055516068,4723.50604478105,4272.89638889216,4291.72541252342,4250.81764987041,4303.60436571296,4570.87386756223,6215.1210033171,"'0'"
4326.15,4021.30013460977,4334.77011179842,6354.88184704936,4421.999050128,8743.5016004358,3064.45520578296,4697.9020865324,5429.16280715064,4331.76972723859,4293.58490359251,4346.97259073458,5232.89492911009,4705.02223527144,"'1'"
4316.92,4020.47148344501,4267.43871792272,13752.1980247363,4400.89191558827,9976.22248646226,4252.79866620771,4723.24389022873,6394.16492825384,4316.12264889086,4266.36673791136,4315.33077064603,4716.7738278168,16736.9687283461,"'0'"
4320,4018.37361696616,4251.21631259666,8567.61587470573,4386.78075362167,7284.08880398839,13167.5133365633,4721.9823992015,7349.50485779439,4317.20107367661,4268.14323395774,4312.45089589666,5594.46153885977,10633.0346387603,"'0'"
4266.15,3988.14813288777,4244.99483757202,10831.0582215369,4378.67999154945,4546.27435232094,2210.38181575034,4604.49710380417,1960.42755994091,4211.56823760731,4188.25384922665,4259.66537936987,4582.7557250828,10503.6640596205,"'1'"
4266.67,3995.53370450827,4294.83211135651,2935.716664102,4336.45976244311,8430.32952211828,6977.39840362342,4716.32149236495,4942.27627043975,4314.94969836482,4260.70638081038,4325.26881258068,6385.18536737661,7686.63076870887,"'0'"
4312.82,4008.33967339845,4271.83122950575,4529.57210333545,4387.99496195163,3073.88351581931,9675.49073105233,4643.69416050618,3048.46156223381,4212.89519339,4193.42482267948,4282.26236980417,3586.50848301456,11211.4475000756,"'0'"
4228.72,4019.25617117459,4298.77071266524,3142.29181435317,4338.36339243676,7272.96576176126,11361.5564207844,4714.49464478251,4350.76396900286,4318.37170067338,4262.27472701458,4315.97528041267,3452.45086532662,1718.5945220495,"'0'"
4295.9,4004.9658232952,4368.72484798373,8408.11492077654,4425.48861630888,4012.28030157576,2690.15213625784,4605.1042943699,4539.50470169455,4293.7703444455,4270.88953631456,4315.60871651484,4564.33269966666,5690.34610131598,"'1'"
4249.74,4002.5479489805,4182.57401139955,8803.77298302619,4385.06039314468,7599.49377101682,8378.6669259496,4719.71391086071,4771.38766435882,4304.75769712777,4253.51314360299,4300.40900847791,3333.80006285888,6819.70752212667,"'0'"
4272.31,3993.10731160252,4233.06455250011,6247.9196930912,4379.36001673476,6781.21944185999,8211.60557970973,4723.14702628785,2751.66744707672,4225.24079138402,4194.68280937635,4275.5259092496,4450.48388351196,5991.59868761655,"'0'"
4284.1,4002.60960472856,4182.92056567769,8529.79070291297,4383.92941738975,3529.15492138817,6375.83949668421,4628.42961287947,1562.48366691527,4203.26626427548,4177.94088469494,4264.94525847799,3945.10414306688,11546.775738634,"'0'"
4296.92,4003.906379835,4255.44214238345,2868.1438613056,4338.4828667587,4790.20235346119,2794.41738312663,4686.91669936874,1845.4139159788,4246.15515892847,4222.98270676113,4297.11466770135,6616.87749964825,6583.384075464,"'0'"
4291.79,4003.93041961177,4209.71818299963,5645.03635746225,4383.55012411945,10320.6468131287,6175.98146308241,4724.68814704851,5580.13718832812,4309.5402431389,4255.87177459638,4306.95399597963,3674.0878653469,10384.5554300276,"'0'"
4290.26,3998.11772310176,4262.28622310377,3921.58824800642,4335.73697205719,8043.26075481259,5930.69677941966,4711.54596439831,3807.56439710515,4241.33261129144,4221.90535590272,4301.50868071746,4545.27191803093,4568.29038296674,"'1'"
4298.46,3999.4582698242,4320.66662307405,5882.29787961823,4404.27822609639,4619.94090664104,7672.51122745608,4642.09301644057,4240.75484750113,4256.18011169171,4212.09785445985,4309.97598600452,5411.88591704302,10533.5649368242,"'1'"
4297.95,4004.60474142601,4314.00676051387,11542.0326010122,4402.47984567955,4960.8112889753,8530.75582124822,4718.64049831705,1740.19915664656,4235.63118101132,4213.07298202126,4312.66049511136,5743.56421066999,14704.8257480637,"'0'"
4284.62,4000.46821384219,4332.21318714483,6864.12711148182,4407.75769025553,4035.14597068856,3293.84665724622,4605.66619601731,7674.63029919086,4289.60120488809,4260.94889241945,4308.86627326293,6520.30644921724,12907.2653711998,"'1'"
4276.41,4001.39691488432,4258.554473768,5505.93532034378,4383.15741970099,4539.60912043256,3946.8106348285,4609.60010210281,3090.80477269427,4215.54423407372,4191.18677732223,4269.05993742943,3545.55750292156,2852.41043139732,"'1'"
4300,4009.50555869918,4250.94187174761,3112.18395093852,4337.4621418894,4308.87937622573,4300.86300289818,4638.92818662244,2467.79148413291,4212.69759859466,4191.21469645994,4287.02667245095,4368.82005188172,10881.2856030138,"'0'"
4290.26,4001.37107335725,4238.46949016065,3391.05300852873,4337.02619784542,8717.82010697814,6001.12974608016,4714.56712733232,2580.36896781839,4237.14012749702,4212.92616329315,4289.92555419557,1624.68323621059,8805.51923535971,"'0'"
4327.69,4021.63979924604,4195.04387173077,3705.39576239401,4336.5135100173,4170.56510623248,5821.51139946547,4633.05772748749,7441.30799760073,4292.02126493387,4285.66235528335,4317.48893203099,4773.53252326683,9687.12943767199,"'0'"
4291.28,3999.45081306176,4277.5467877121,10688.2559694443,4385.45721492401,4363.42762189972,4426.19646708536,4643.59336059997,2252.94976210585,4208.184364364,4182.03411612771,4277.4723748771,4332.49170782022,7293.74430083996,"'0'"
4291.28,4000.40171717136,4303.89287494648,3871.72322931182,4339.85712782378,4146.87875152574,9874.17679819073,4650.88977204228,2998.56848636464,4210.99273684787,4195.30910780179,4292.8246626636,4009.38959526757,5841.85468810789,"'0'"
4314.87,4010.9192177892,4266.14572906598,3171.53388655791,4338.44157944097,3057.23952154964,2437.88959566478,4595.16111500902,4390.58603097096,4305.74792789051,4276.34663069854,4307.62743708868,4776.51238248351,7370.35656469984,"'0'"
4301.54,4006.5954112128,4250.67373374237,4396.81836875436,4387.69135020732,6775.12123082332,5617.43389637868,4721.74479985848,4389.26014870018,4320.62836595913,4262.24355974743,4311.87698210476,4855.33180132792,7448.18310379689,"'0'"
4293.33,4000.92706781129,4267.41800966731,11498.8636928284,4384.30796710417,3931.500260319,6059.83375868988,4639.80880479285,4496.13632042165,4283.82926792355,4250.98513180529,4294.23767931656,5983.50616118254,3508.41390966351,"'1'"
4303.08,4006.76523586206,4230.54936394517,4071.58816529943,4338.89550832225,6104.81657500593,10547.7032856057,4711.40380461067,7664.74022552002,4324.67081163872,4250.48161322907,4311.79824330836,4514.86172071964,5561.25860153533,"'0'"
4302.05,4007.38971755635,4264.84001006221,4002.12532348534,4339.43271105718,6577.35184131605,3032.19283530469,4685.0146525553,2812.92586137552,4249.10975532255,4224.01099115061,4299.37770905651,4360.4476673763,7640.54187541639,"'0'"
4266.67,3989.30853141129,4242.42164369819,2924.77265907857,4325.40159346615,10018.2354724826,11714.5501992446,4712.55637560352,4414.00788312754,4308.81743528573,4253.73482866774,4313.45733732575,3201.18187983433,8495.93517814267,"'0'"
4276.41,3992.52028136605,4295.59113841938,2746.07888854483,4335.88363437523,5795.32766472879,8238.03347708083,4711.98521344011,2706.41411356185,4237.92235271901,4222.3855410363,4309.76908924992,4875.45622995376,2215.03954736775,"'0'"
4276.92,3987.90229030221,4269.46853746506,10944.4120092637,4380.36841586071,3412.00554299176,2160.85052733952,4608.30415625283,2403.72858145873,4214.87257665112,4196.09733492453,4275.17732007569,4817.42958508061,5666.86692881259,"'1'"
4303.59,4008.52020604176,4262.86593442459,10444.4180507304,4385.48428582006,4072.40263329743,2523.73427789578,4602.36683405885,4185.19043292132,4227.32931902875,4202.07406425469,4278.00188343077,1888.02229547572,15023.9781874465,"'1'"
4263.08,3988.43029511184,4248.02701950031,11848.5340677792,4379.10146944943,4212.47947297334,2557.86202909806,4602.51304407738,4487.71773330275,4282.87173239823,4247.54819220386,4295.39053610804,3420.19804320513,1556.88460135647,"'1'"
4316.92,4013.71765068877,4255.40955888447,6930.72380940665,4385.39846321571,4855.40697966672,2197.46275283717,4699.68573628741,4738.87798030935,4328.67950612557,4273.18484893914,4319.78274795832,5025.2951668041,10481.6557088546,"'1'"
4269.74,3992.30209468204,4267.79638975037,5615.93368353892,4380.62166430482,5124.26977535498,8470.48420415372,4721.59396235177,6497.97529750828,4306.59086181169,4262.09723954106,4308.3298684374,6239.04852367523,11502.1527167866,"'0'"
